family,nador_2_counts,oualidia_2_counts,oualidia_1_counts,nador_1_counts
Methanocellaceae,1.64,3.0,4.0,0.0
Methanoregulaceae,3.4,1.0,1.0,4.07
Methanosaetaceae,0.0,1.0,1.0,0.0
Methanospirillaceae,1.64,2.0,2.0,0.0
Methylacidiphilaceae,7.59,24.0,29.0,7.38
Methylobacteriaceae,69.12,73.0,73.0,64.76
Methylocystaceae,1.57,5.0,6.0,3.37
Methylophilaceae,140.13000000000002,246.0,242.0,167.91
Microbacteriaceae,99.13000000000001,565.0,464.0,125.58000000000001
Micrococcaceae,64.22,365.0,364.0,70.91
Microcoleaceae,17.91,39.0,49.0,26.01
Microcystaceae,5.710000000000001,13.0,10.0,3.31
Micromonosporaceae,14.02,43.0,41.0,18.810000000000002
Microscillaceae,29.67,50.0,48.0,29.21999999999999
Mimiviridae,2.52,33.0,40.0,4.92
Morganellaceae,32.96,44.0,41.0,39.35999999999999
Moritellaceae,1.67,6.0,5.0,3.25
Muridae,82.82,145.0,124.0,80.75000000000001
Mycobacteriaceae,60.199999999999996,167.0,145.0,66.33
Mycoplasmataceae,6.52,27.0,31.0,7.42
Myoviridae,640.9300000000001,222.0,224.0,623.38
Myxococcaceae,17.37,22.0,19.0,14.809999999999999
Nakamurellaceae,4.91,18.0,19.0,11.559999999999999
Nannocystaceae,20.009999999999998,1868.0,1641.0,19.830000000000002
Natrialbaceae,0.0,14.0,9.0,0.0
Nautiliaceae,1.54,3.0,4.0,2.42
Nectriaceae,5.88,24.0,24.0,6.529999999999999
Nitrosomonadaceae,23.35,46.0,59.0,31.230000000000004
Nitrosopumilaceae,0.0,1.0,1.0,0.0
Nitrospiraceae,2.45,18.0,18.0,6.61
Nocardiaceae,25.26,63.0,60.0,20.51
Nocardioidaceae,30.479999999999997,52.0,64.0,25.369999999999997
Nocardiopsaceae,31.6,52.0,55.0,26.200000000000003
Noelaerhabdaceae,1.68,1.0,1.0,2.58
Nosematidae,0.0,1.0,1.0,0.0
Nostocaceae,20.5,56.0,57.0,20.51
Oceanospirillaceae,153.23,188.0,185.0,159.34999999999997
Onchocercidae,21.8,229.0,193.0,14.66
Onygenaceae,0.0,2.0,1.0,0.0
Opitutaceae,33.86,67.0,64.0,34.45
Ornithorhynchidae,0.0,12.0,14.0,0.0
Orobanchaceae,13.04,19.0,14.0,10.39
Oscillatoriaceae,9.030000000000001,3.0,5.0,6.49
Oscillochloridaceae,1.66,4.0,3.0,1.63
Paenibacillaceae,17.41,22.0,21.0,13.87
Parachlamydiaceae,4.16,17.0,25.0,6.46
Parameciidae,9.11,34.0,37.0,12.06
Parvularculaceae,15.999999999999998,9.0,9.0,22.16
Pasteurellaceae,86.06,135.0,130.0,91.21999999999998
Paulinellidae,5.78,1.0,1.0,10.48
Pectobacteriaceae,15.649999999999999,30.0,30.0,12.379999999999999
Pediculidae,1.65,7.0,8.0,1.66
Pelagibacteraceae,5955.789999999996,4502.0,4816.0,5770.269999999999
Peptococcaceae,20.52,29.0,30.0,13.82
Peptoniphilaceae,7.4,2.0,6.0,7.340000000000001
Peptostreptococcaceae,4.14,17.0,16.0,8.83
Peridiniaceae,4.95,47.0,46.0,1.52
Perkinsidae,2.53,26.0,23.0,3.18
Phaeodactylaceae,76.42000000000002,146.0,142.0,84.57000000000001
Phaffomycetaceae,0.0,4.0,7.0,0.0
Phasianidae,5.74,13.0,16.0,4.0600000000000005
Phycodnaviridae,92.2,75.0,72.0,97.7
Phyllobacteriaceae,154.98,112.0,107.0,139.05000000000004
Pinaceae,0.0,2.0,3.0,0.0
